"CO_ENTIDADE","nome_escola_2020","situacao_2021","dependencia","rede","matriculas_2020","address","Latitude","Longitude "
35804174,"SABER CRESCER E COMPANHIA","paralisada_2021","3_privada_nao_conveniada","privada",18,"RUA ALCIDES DE QUEIROS, 358 RUA. CASA BRANSA. 09015-550 Santo André - SP.","-46.51883"," -23.66074"
35804496,"ESCOLA DE EDUCACAO INFANTIL A FAZENDINHA","paralisada_2021","3_privada_nao_conveniada","privada",12,"ANDRADAS, 234 AVENIDA. VILA SANTA TERESA. 09030-350 Santo André - SP.","-46.52928"," -23.66768"
35812171,"BARAO D BG NUCLEO DE EDUCACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada","privada",19,"RUA IRA, 96 RUA. VILA CAMILOPOLIS. 09240-100 Santo André - SP.","-46.5248"," -23.62372"
35004822,"ATHOS METODO DE ENSINO INTEGRADO","paralisada_2021","3_privada_nao_conveniada","privada",1,"LUZITANIA, 337 VILA LUSITANIA. 09725-150 São Bernardo do Campo - SP.","-46.556516"," -23.7107549"
35005900,"ESCOLA DE EDUCACAO INFANTIL CANTINHO DA TIA ZENI - EIRELI - EPP","paralisada_2021","3_privada_nao_conveniada","privada",18,"SENADOR RICARDO BATISTA, 631 ASSUNCAO. 09812-510 São Bernardo do Campo - SP.","NaN"," NaN"
35006301,"ESCOLA DE EDUCACAO INFANTIL DOM QUIXOTE","paralisada_2021","3_privada_nao_conveniada","privada",7,"DOS ALAMOS, 33 DOS CASA. 09840-240 São Bernardo do Campo - SP.","NaN"," NaN"
35006309,"NUCLEO DE DESENVOLVIMENTO INFANTIL BINUI","paralisada_2021","3_privada_nao_conveniada","privada",27,"PRINCESA IZABEL, 451 NOVA PETROPOLIS. 09771-110 São Bernardo do Campo - SP.","NaN"," NaN"
35006315,"ESCOLA DE EDUCACAO INFANTIL BRINCANDO E APRENDENDO","paralisada_2021","3_privada_nao_conveniada","privada",7,"GUILHERME LORENZONI, 12 ALVES DIAS. 09851-020 São Bernardo do Campo - SP.","NaN"," NaN"
35006321,"MANSAO BEBE II","paralisada_2021","3_privada_nao_conveniada","privada",10,"VICENTE DE CARVALHO, 710 ANCHIETA. 09732-600 São Bernardo do Campo - SP.","NaN"," NaN"
35006327,"COLEGIO BATISTINI","paralisada_2021","3_privada_nao_conveniada","privada",13,"GALVAO BUENO, 4643 BATISTINI. 09842-080 São Bernardo do Campo - SP.","NaN"," NaN"
35006339,"BALAO MAGICO SISTEMA DE ENSINO","paralisada_2021","3_privada_nao_conveniada","privada",54,"GAETANO ANGELI, 9 SANTA TEREZINHA. 09781-350 São Bernardo do Campo - SP.","NaN"," NaN"
35006356,"ESCOLA DE RECREACAO INFANTIL MARANATHA","paralisada_2021","3_privada_nao_conveniada","privada",36,"ASSUMPTA SABATINI ROSSI, 133 BATISTINI. 09842-000 São Bernardo do Campo - SP.","NaN"," NaN"
35292163,"MEIMEI INSTITUICAO ASSISTENCIAL","paralisada_2021","2_privada_conveniada","pública ou conveniada",62,"FRANCISCO ALVES, 275 RUA. PAULICEIA. 09692-000 São Bernardo do Campo - SP.","-46.5835018"," -23.670548"
35292278,"ALFA MAIOR CENTRO PEDAGOGICO","paralisada_2021","3_privada_nao_conveniada","privada",42,"AMERICO BRASILIENSE, 656 RUA. CENTRO. 09715-021 São Bernardo do Campo - SP.","-46.5463910624385"," -23.7126748496667"
35481257,"CENTRO EDUCACIONAL COGNITIVO","paralisada_2021","3_privada_nao_conveniada","privada",8,"AMAPA, 59 RUA. RUDGE RAMOS. 09634-050 São Bernardo do Campo - SP.","-46.569110462442"," -23.6528661148623"
35481269,"RECANTO INFANTIL PEDRITA","paralisada_2021","3_privada_nao_conveniada","privada",42,"ARMANDO PINELLI, 53 RUA. TABOAO. 09671-020 São Bernardo do Campo - SP.","-46.6087324"," -23.6649999"
35481518,"EDUCATI EDUCACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada","privada",64,"IZABEL PRINCESA, 137 ALAMEDA. NOVA PETROPOLIS. 09771-110 São Bernardo do Campo - SP.","-46.5483587142514"," -23.7033433607069"
35495827,"EDUCANDARIO ALFA E OMEGA ESCOLA DE EDUCACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada","privada",20,"JOAQUIM SERRA, 217 RUA. INDEPENDENCIA. 09860-030 São Bernardo do Campo - SP.","-46.57903352"," -23.69770154"
35499122,"CENTRO EDUCACIONAL FRUTO DA TERRA","paralisada_2021","3_privada_nao_conveniada","privada",20,"RUA SECONDO MODOLIN, 163 CENTRO. 09725-240 São Bernardo do Campo - SP.","-46.55745174"," -23.71294085"
35568703,"PASSINHOS DO SABER RECANTO INFANTIL","paralisada_2021","3_privada_nao_conveniada","privada",18,"MARTINS, 258 RUA. PAULICEIA. 09686-000 São Bernardo do Campo - SP.","-46.5915338"," -23.6655165"
35569392,"RAIOS DO SOL ESCOLA INFANTIL","paralisada_2021","3_privada_nao_conveniada","privada",4,"MARCILIO CONRADO, 215 RUA. RIO GRANDE. 09830-291 São Bernardo do Campo - SP.","-46.53067292"," -23.7812856"
35569628,"ASAS DO SABER ESCOLA DE EDUCACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada","privada",17,"SILVA BUENO, 156 RUA. JORDANOPOLIS. 09891-470 São Bernardo do Campo - SP.","-46.5687394"," -23.6845819"
35585506,"EQUILIBRIUM NUCLEO DE EDUCACAO INFANTIL BILINGUE","paralisada_2021","3_privada_nao_conveniada","privada",79,"ARTHUR BERNARDES PRESIDENTE, 457 AVENIDA. RUDGE RAMOS. 09618-000 São Bernardo do Campo - SP.","-46.5635568624739"," -23.6672926771987"
35586146,"NUCLEO DE EDUCACAO INTEGRADA ARGOS","paralisada_2021","3_privada_nao_conveniada","privada",26,"RUA GENERAL OSORIO, 205 RUA. CENTRO. 09715-380 São Bernardo do Campo - SP.","NaN"," NaN"
35051275,"JOSE CORONA EMEI","paralisada_2021","1_publica","pública ou conveniada",33,"RUA MOGI GUACU, 80 RUA. OLIMPICO. 09570-570 São Caetano do Sul - SP.","-46.5603587497026"," -23.6261197552085"
35051317,"LUIZ JOSE GIORGETTI EMEI","paralisada_2021","1_publica","pública ou conveniada",17,"IVAI, 63 RUA. SANTA MARIA. 09560-570 São Caetano do Sul - SP.","-46.55679063"," -23.63364925"
35169341,"NOSSA SENHORA APARECIDA PAROQUIA","extinta_2021","2_privada_conveniada","pública ou conveniada",36,"RUA FLORIDA, 975 RUA. BARCELONA. 09551-000 São Caetano do Sul - SP.","-46.55079621"," -23.62444115"
35304797,"WILLIAN CESAR DE FIGUEIREDO BELO COLEGIO","extinta_2021","3_privada_nao_conveniada","privada",23,"RUA HONORIO AUGUSTO DE CAMARGO, 09 AVENIDA. CENTRO. 06890-000 São Lourenço da Serra - SP.","-46.9519053"," -23.8541832"
35004306,"COLEGIO SALES","extinta_2021","3_privada_nao_conveniada","privada",52,"JULIO BUONO, 1008 VILA GUSTAVO. 02201-000 São Paulo - SP.","NaN"," NaN"
35004501,"ESCOLA DE EDUCACAO INFANTIL SABIDINHO","paralisada_2021","3_privada_nao_conveniada","privada",9,"PROFESSOR DANTAS JUNIOR, 82 JARDIM PEDREIRA. 04468-040 São Paulo - SP.","NaN"," NaN"
35004502,"ESCOLA CIRANDA","paralisada_2021","3_privada_nao_conveniada","privada",10,"AVENIDA NOSSA SENHORA DA ENCARNACAO, 262 JARDIM MARIA ESTELA. 04180-081 São Paulo - SP.","NaN"," NaN"
35004512,"ESCOLA BALUARTE","paralisada_2021","3_privada_nao_conveniada","privada",20,"RUA WALTRUDES CORREA, 183 PARQUE SAO DOMINGOS. 05122-070 São Paulo - SP.","NaN"," NaN"
